,InterestingEventTime,EventDescription,currentThreadID,BotNumber
273,2022-04-29 17:18:33.170100, Dynamic Status,43,3466
274,2022-04-29 17:18:34.665200, Dynamic Status,43,3466
275,2022-04-29 17:18:36.176400, Dynamic Status,43,3466
276,2022-04-29 17:18:37.679500, Dynamic Status,43,3466
277,2022-04-29 17:18:38.201600, Dynamic Status,43,3466
278,2022-04-29 17:18:38.405600, Event : Action Status : AddWayPoint 1000036 : Status Completed,43,3466
279,2022-04-29 17:18:38.406600, Event : Action Status : Rest 1000037 : Status Started,43,3466
280,2022-04-29 17:18:38.406600, Event : Alert ActionId:0 Text:,43,3466
281,2022-04-29 17:18:38.406600, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
282,2022-04-29 17:18:40.210800, Dynamic Status,43,3466
283,2022-04-29 17:18:42.223000, Dynamic Status,43,3466
284,2022-04-29 17:18:44.208200, Event : Action Status : Rest 1000037 : Status Completed,43,3466
285,2022-04-29 17:18:44.413200, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
286,2022-04-29 17:18:44.414200, Dynamic Status,43,3466
287,2022-04-29 17:18:44.995300, Initialize : Cmd 1000023 : Response,43,3466
288,2022-04-29 17:18:45.193300, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
289,2022-04-29 17:18:45.193300, Event : Action Status : AddWayPoint 1000038 : Status Started,43,3466
290,2022-04-29 17:18:46.017400, Initialize : Cmd 1000024 : Response,43,3466
291,2022-04-29 17:18:46.233400, Dynamic Status,43,3466
292,2022-04-29 17:18:47.076500, Dynamic Status,43,3466
293,2022-04-29 17:18:48.590600, Dynamic Status,43,3466
294,2022-04-29 17:18:50.676800, Dynamic Status,43,3466
295,2022-04-29 17:18:50.892800, Dynamic Status,43,3466
296,2022-04-29 17:18:50.892800, Event : Alert ActionId:1000038 Text:Xposition_mm:15961|Yposition_mm:2060|Yaw_mrad:1754|LinearVel_mmps:375|RotationVel_mradps:722|Reason:,43,3466
297,2022-04-29 17:18:50.893800, Event : Action Status : AddWayPoint 1000038 : Status Completed,43,3466
298,2022-04-29 17:18:50.893800, Event : Action Status : AddWayPoint 1000038 : Status Completed,43,3466
299,2022-04-29 17:18:50.893800, Event : Action Status : AddWayPoint 1000039 : Status Completed,43,3466
300,2022-04-29 17:18:50.893800, Event : Action Status : AddWayPoint 1000040 : Status Completed,43,3466
301,2022-04-29 17:18:50.894800, Event : OperationalState : OperationalState Alarm : SubState StuckDetected,43,3466
302,2022-04-29 17:18:50.922800, Initialize : Cmd 1000025 : Response,43,3466
303,2022-04-29 17:18:52.660000, Dynamic Status,43,3466
304,2022-04-29 17:18:53.209100, Event : Action Status : Recover 1000041 : Status Started,43,3466
305,2022-04-29 17:18:54.686200, Dynamic Status,43,3466
306,2022-04-29 17:18:56.694400, Dynamic Status,43,3466
307,2022-04-29 17:18:57.232500, Event : OperationalState : OperationalState Recovery : SubState StuckDetected,43,3466
308,2022-04-29 17:18:57.435500, Event : Action Status : Recover 1000041 : Status Completed,43,3466
309,2022-04-29 17:18:58.443600, Initialize : Cmd 1000026 : Response,43,3466
310,2022-04-29 17:18:58.647600, Event : Action Status : AddWayPoint 1000042 : Status Started,43,3466
311,2022-04-29 17:18:58.859600, Dynamic Status,43,3466
312,2022-04-29 17:19:00.721800, Dynamic Status,43,3466
313,2022-04-29 17:19:02.208000, Dynamic Status,43,3466
314,2022-04-29 17:19:03.744100, Dynamic Status,43,3466
